symbol,date,open,high,low,close,volume
AAPL,2024-03-22 11:09:00,172.064,172.16,172.06,172.075,94472
AAPL,2024-03-22 11:08:00,172.079,172.11,172.02,172.065,70104
AAPL,2024-03-22 11:07:00,172.185,172.191,172.05,172.08,127078
AAPL,2024-03-22 11:06:00,172.115,172.21,172.09,172.189,92274
AAPL,2024-03-22 11:05:00,172.075,172.15,172.04,172.12,104010
AAPL,2024-03-22 11:04:00,172.015,172.119,172.0,172.07,102284
AAPL,2024-03-22 11:03:00,172.04,172.067,171.94,172.01,122060
AAPL,2024-03-22 11:02:00,171.9,172.07,171.9,172.042,122850
AAPL,2024-03-22 11:01:00,171.84,171.9,171.84,171.9,78480
AAPL,2024-03-22 11:00:00,171.885,172.05,171.81,171.83,142193
AAPL,2024-03-22 10:59:00,171.855,171.91,171.8,171.89,130946
AAPL,2024-03-22 10:58:00,171.9,171.9,171.79,171.85,145256
AAPL,2024-03-22 10:57:00,171.89,171.95,171.86,171.915,116116
AAPL,2024-03-22 10:56:00,171.905,171.91,171.82,171.89,137106
AAPL,2024-03-22 10:55:00,172.085,172.11,171.89,171.909,129919
AAPL,2024-03-22 10:54:00,171.99,172.12,171.98,172.08,139647
AAPL,2024-03-22 10:53:00,171.919,172.01,171.91,171.994,122756
AAPL,2024-03-22 10:52:00,171.91,171.94,171.895,171.92,124518
AAPL,2024-03-22 10:51:00,171.975,172.01,171.86,171.91,132213
AAPL,2024-03-22 10:50:00,172.11,172.119,171.94,171.965,207165
AAPL,2024-03-22 10:49:00,172.1,172.15,172.09,172.12,164904
AAPL,2024-03-22 10:48:00,172.25,172.265,172.09,172.108,214186
AAPL,2024-03-22 10:47:00,172.273,172.3,172.2,172.25,168712
AAPL,2024-03-22 10:46:00,172.44,172.45,172.23,172.27,211662
AAPL,2024-03-22 10:45:00,172.325,172.47,172.26,172.426,225793
AAPL,2024-03-22 10:44:00,172.245,172.56,172.23,172.305,530891
AAPL,2024-03-22 10:43:00,172.265,172.32,172.18,172.245,280698
AAPL,2024-03-22 10:42:00,172.09,172.27,172.09,172.27,319533
AAPL,2024-03-22 10:41:00,171.84,172.1,171.84,172.095,312500
AAPL,2024-03-22 10:40:00,171.98,172.0,171.77,171.845,163108
AAPL,2024-03-22 10:39:00,171.85,171.99,171.84,171.98,221107
AAPL,2024-03-22 10:38:00,171.755,171.85,171.63,171.85,135600
AAPL,2024-03-22 10:37:00,171.905,171.905,171.75,171.76,125978
AAPL,2024-03-22 10:36:00,171.783,171.92,171.782,171.905,125079
AAPL,2024-03-22 10:35:00,171.82,171.86,171.75,171.79,94663
AAPL,2024-03-22 10:34:00,171.69,171.9,171.64,171.82,203118
AAPL,2024-03-22 10:33:00,171.628,171.72,171.59,171.68,94324
AAPL,2024-03-22 10:32:00,171.7,171.84,171.62,171.628,145330
AAPL,2024-03-22 10:31:00,171.76,171.796,171.68,171.68,137430
AAPL,2024-03-22 10:30:00,171.795,171.795,171.64,171.761,175123
AAPL,2024-03-22 10:29:00,171.83,171.9,171.77,171.799,277765
AAPL,2024-03-22 10:28:00,171.724,171.85,171.674,171.83,244578
AAPL,2024-03-22 10:27:00,171.525,171.74,171.48,171.73,192590
AAPL,2024-03-22 10:26:00,171.562,171.635,171.38,171.53,205775
AAPL,2024-03-22 10:25:00,171.53,171.65,171.51,171.56,167839
AAPL,2024-03-22 10:24:00,171.448,171.61,171.434,171.53,222418
AAPL,2024-03-22 10:23:00,171.43,171.46,171.285,171.445,205694
AAPL,2024-03-22 10:22:00,171.41,171.49,171.36,171.43,116614
AAPL,2024-03-22 10:21:00,171.545,171.57,171.32,171.385,148077
AAPL,2024-03-22 10:20:00,171.525,171.591,171.44,171.544,153828
AAPL,2024-03-22 10:19:00,171.475,171.61,171.475,171.525,198759
AAPL,2024-03-22 10:18:00,171.325,171.485,171.29,171.473,174650
AAPL,2024-03-22 10:17:00,171.33,171.36,171.275,171.34,120554
AAPL,2024-03-22 10:16:00,171.15,171.335,171.045,171.33,3305787
AAPL,2024-03-22 10:15:00,171.17,171.217,171.02,171.151,314037
AAPL,2024-03-22 10:14:00,171.328,171.35,171.17,171.17,134538
AAPL,2024-03-22 10:13:00,171.375,171.49,171.31,171.33,198918
