,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
106,00000000000000000004743d04a15cd08e72b1ab8a86988cfdaa34970c866677,543162368,386216622,17555149,4284505130,2009177,806876,True,806876,3993308
107,000000000000000000039cbe253a7c5e327c3712c303dd147a7626a925456e42,536903680,386216622,25069045,2240122031,1465640,806875,True,806875,3993431
108,0000000000000000000098f8c712f48d924fb5688a1aebf8248ebab6d486c7d1,537403392,386216622,17280692,3594213970,1943689,806874,True,806874,3993466
109,00000000000000000004c8756836cbd46c730f46b964503d27e56d381aff2c18,537321472,386216622,21843329,2600551601,1600841,806873,True,806873,3997832
110,00000000000000000000c035ade33e8a1a0b1c5e7dbbc3eb008a83debf3486da,675905536,386216622,34201264,1108351322,1422536,806872,True,806872,3993029
111,000000000000000000014ddc14da6e260ef196f2b52ef31619d25ebaff87dcf2,598212608,386216622,16650834,1435856152,1851477,806871,True,806871,3992979
112,000000000000000000007b585a10b65a31c273a85af7aced05d299d4a99a0f29,547356672,386216622,15751635,1220058925,1507533,806870,True,806870,3993225
113,00000000000000000003016f10ab5bc8fa8234786641edfabcd7880192293591,537141252,386216622,21843693,3191967560,1559262,806869,True,806869,3993336
114,000000000000000000013ceca9cc5021be6163aee5372bf616a9703b68acbb28,831700992,386216622,19014405,3300829465,1973408,806868,True,806868,3993044
115,00000000000000000000087971d908288bbbf9af5c4a346315bf6f063eb7c63c,693993472,386216622,22440570,1091164712,1483428,806867,True,806867,3992799
116,0000000000000000000179774eabc948fc65401b22b763461c22e28e0a82a7df,536879104,386216622,35743359,480944413,1498797,806866,True,806866,3997923
117,000000000000000000052fefca5f7d0e9c65884f1517a0b2a0e96579a15f574e,732823552,386216622,20832359,2959196512,1484125,806865,True,806865,3993565
118,000000000000000000015968824f4a1a9de1075ee536b7bdb616714f3cb5ef24,675790848,386216622,32519346,2773491782,1508051,806864,True,806864,3992990
119,000000000000000000033bd38e7db515c37099e47aa219b33ac102a26c110c10,618135552,386216622,19474700,898525538,1904035,806863,True,806863,3993010
120,000000000000000000025d6b184b40cd9bc29568ed56edc003f182b196f447bf,674250752,386216622,16095745,3785960008,1720520,806862,True,806862,3992537
121,000000000000000000022b71992b223a1deef3d6df02a17719e754ae711255a5,749789184,386216622,24690946,2982008864,1690106,806861,True,806861,3993050
122,00000000000000000000ce919b3e94932e0f494b86b6501b26e108fa44e97b62,536928256,386216622,23324026,1209317378,1788226,806860,True,806860,3992989
123,0000000000000000000396680b022e52e7a800b0e404ee40ff99c784190d892f,760176640,386216622,21812907,4208066984,1610246,806859,True,806859,3992726
124,00000000000000000003141d48c1bdf11fad87329afd2840a826d28389eb1b0b,632348672,386216622,32795407,2506844249,1551784,806858,True,806858,3992869
125,00000000000000000001e77f61615f142a7ca52d0b34182c40ff6b8a3afe106b,616808448,386216622,32376388,4082493448,1399603,806857,True,806857,3993583
126,00000000000000000002f66aa2409941061167463d5d980422199995a0495b60,536870912,386216622,21996370,222734640,1650423,806856,True,806856,3993465
127,0000000000000000000184d9cd3563046d762d3b4fa5d54fc35ce083ff750163,1073676288,386216622,16840246,136191475,2101088,806855,True,806855,3993146
128,00000000000000000000465b3a1b48eee92855ca51aa3716ad275f34a1a9ecfa,536928256,386216622,27783161,1122222636,1612598,806854,True,806854,3992966
129,00000000000000000003a0a3c2f873145ffd7f4419d031c53670c33511080c87,827834368,386216622,18085413,3021250367,1976841,806853,True,806853,3993624
130,000000000000000000027d6c1690448b898ceb627ac48ab8286f4bf8e5a060d3,645824512,386216622,25533000,382687757,1529887,806852,True,806852,3993340
